  Nz=Nparall      Px    
 -2.9272E+01  3.0348E-04
 -2.9260E+01  2.9926E-04
 -2.9248E+01  3.0213E-04
 -2.9236E+01  3.0910E-04
 -2.9224E+01  3.1720E-04
 -2.9212E+01  3.2366E-04
 -2.9200E+01  3.2616E-04
 -2.9188E+01  3.2300E-04
 -2.9177E+01  3.1322E-04
 -2.9165E+01  2.9667E-04
 -2.9153E+01  2.7395E-04
 -2.9141E+01  2.4636E-04
 -2.9129E+01  2.1575E-04
 -2.9117E+01  1.8433E-04
 -2.9105E+01  1.5448E-04
 -2.9093E+01  1.2850E-04
 -2.9081E+01  1.0843E-04
 -2.9069E+01  9.5849E-05
 -2.9058E+01  9.1762E-05
 -2.9046E+01  9.6480E-05
 -2.9034E+01  1.0961E-04
 -2.9022E+01  1.3011E-04
 -2.9010E+01  1.5633E-04
 -2.8998E+01  1.8622E-04
 -2.8986E+01  2.1748E-04
 -2.8974E+01  2.4774E-04
 -2.8962E+01  2.7481E-04
 -2.8950E+01  2.9684E-04
 -2.8938E+01  3.1249E-04
 -2.8927E+01  3.2105E-04
 -2.8915E+01  3.2252E-04
 -2.8903E+01  3.1760E-04
 -2.8891E+01  3.0767E-04
 -2.8879E+01  2.9468E-04
 -2.8867E+01  2.8104E-04
 -2.8855E+01  2.6940E-04
 -2.8843E+01  2.6252E-04
 -2.8831E+01  2.6302E-04
 -2.8819E+01  2.7325E-04
 -2.8807E+01  2.9504E-04
 -2.8796E+01  3.2967E-04
 -2.8784E+01  3.7769E-04
 -2.8772E+01  4.3894E-04
 -2.8760E+01  5.1254E-04
 -2.8748E+01  5.9694E-04
 -2.8736E+01  6.9000E-04
 -2.8724E+01  7.8917E-04
 -2.8712E+01  8.9156E-04
 -2.8700E+01  9.9416E-04
 -2.8688E+01  1.0940E-03
 -2.8676E+01  1.1881E-03
 -2.8665E+01  1.2740E-03
 -2.8653E+01  1.3494E-03
 -2.8641E+01  1.4126E-03
 -2.8629E+01  1.4623E-03
 -2.8617E+01  1.4976E-03
 -2.8605E+01  1.5184E-03
 -2.8593E+01  1.5249E-03
 -2.8581E+01  1.5175E-03
 -2.8569E+01  1.4973E-03
 -2.8557E+01  1.4654E-03
 -2.8545E+01  1.4233E-03
 -2.8534E+01  1.3724E-03
 -2.8522E+01  1.3142E-03
 -2.8510E+01  1.2503E-03
 -2.8498E+01  1.1822E-03
 -2.8486E+01  1.1111E-03
 -2.8474E+01  1.0383E-03
 -2.8462E+01  9.6486E-04
 -2.8450E+01  8.9177E-04
 -2.8438E+01  8.1982E-04
 -2.8426E+01  7.4971E-04
 -2.8414E+01  6.8199E-04
 -2.8403E+01  6.1715E-04
 -2.8391E+01  5.5554E-04
 -2.8379E+01  4.9746E-04
 -2.8367E+01  4.4310E-04
 -2.8355E+01  3.9259E-04
 -2.8343E+01  3.4601E-04
 -2.8331E+01  3.0336E-04
 -2.8319E+01  2.6461E-04
 -2.8307E+01  2.2969E-04
 -2.8295E+01  1.9847E-04
 -2.8283E+01  1.7083E-04
 -2.8272E+01  1.4664E-04
 -2.8260E+01  1.2573E-04
 -2.8248E+01  1.0796E-04
 -2.8236E+01  9.3169E-05
 -2.8224E+01  8.1193E-05
 -2.8212E+01  7.1865E-05
 -2.8200E+01  6.5006E-05
 -2.8188E+01  6.0414E-05
 -2.8176E+01  5.7865E-05
 -2.8164E+01  5.7103E-05
 -2.8152E+01  5.7840E-05
 -2.8141E+01  5.9759E-05
 -2.8129E+01  6.2518E-05
 -2.8117E+01  6.5761E-05
 -2.8105E+01  6.9131E-05
 -2.8093E+01  7.2288E-05
 -2.8081E+01  7.4928E-05
 -2.8069E+01  7.6801E-05
 -2.8057E+01  7.7728E-05
 -2.8045E+01  7.7618E-05
 -2.8033E+01  7.6475E-05
 -2.8021E+01  7.4407E-05
 -2.8010E+01  7.1617E-05
 -2.7998E+01  6.8401E-05
 -2.7986E+01  6.5131E-05
 -2.7974E+01  6.2233E-05
 -2.7962E+01  6.0161E-05
 -2.7950E+01  5.9375E-05
 -2.7938E+01  6.0306E-05
 -2.7926E+01  6.3331E-05
 -2.7914E+01  6.8751E-05
 -2.7902E+01  7.6770E-05
 -2.7890E+01  8.7483E-05
 -2.7879E+01  1.0087E-04
 -2.7867E+01  1.1681E-04
 -2.7855E+01  1.3505E-04
 -2.7843E+01  1.5530E-04
 -2.7831E+01  1.7714E-04
 -2.7819E+01  2.0016E-04
 -2.7807E+01  2.2387E-04
 -2.7795E+01  2.4783E-04
 -2.7783E+01  2.7157E-04
 -2.7771E+01  2.9468E-04
 -2.7759E+01  3.1678E-04
 -2.7748E+01  3.3754E-04
 -2.7736E+01  3.5671E-04
 -2.7724E+01  3.7408E-04
 -2.7712E+01  3.8950E-04
 -2.7700E+01  4.0288E-04
