  Nz=Nparall      Px    
 -2.8748E+01  5.5421E-05
 -2.8736E+01  4.7988E-05
 -2.8724E+01  4.0050E-05
 -2.8712E+01  3.3775E-05
 -2.8700E+01  2.9867E-05
 -2.8688E+01  2.7615E-05
 -2.8676E+01  2.5600E-05
 -2.8665E+01  2.2649E-05
 -2.8653E+01  1.8552E-05
 -2.8641E+01  1.4204E-05
 -2.8629E+01  1.1131E-05
 -2.8617E+01  1.0669E-05
 -2.8605E+01  1.3209E-05
 -2.8593E+01  1.7898E-05
 -2.8581E+01  2.2924E-05
 -2.8569E+01  2.6274E-05
 -2.8557E+01  2.6596E-05
 -2.8545E+01  2.3770E-05
 -2.8534E+01  1.8939E-05
 -2.8522E+01  1.3992E-05
 -2.8510E+01  1.0752E-05
 -2.8498E+01  1.0234E-05
 -2.8486E+01  1.2307E-05
 -2.8474E+01  1.5873E-05
 -2.8462E+01  1.9454E-05
 -2.8450E+01  2.1888E-05
 -2.8438E+01  2.2794E-05
 -2.8426E+01  2.2620E-05
 -2.8414E+01  2.2265E-05
 -2.8403E+01  2.2499E-05
 -2.8391E+01  2.3477E-05
 -2.8379E+01  2.4607E-05
 -2.8367E+01  2.4837E-05
 -2.8355E+01  2.3230E-05
 -2.8343E+01  1.9548E-05
 -2.8331E+01  1.4547E-05
 -2.8319E+01  9.8397E-06
 -2.8307E+01  7.3398E-06
 -2.8295E+01  8.5383E-06
 -2.8283E+01  1.3897E-05
 -2.8272E+01  2.2627E-05
 -2.8260E+01  3.2922E-05
 -2.8248E+01  4.2563E-05
 -2.8236E+01  4.9619E-05
 -2.8224E+01  5.2980E-05
 -2.8212E+01  5.2540E-05
 -2.8200E+01  4.9008E-05
 -2.8188E+01  4.3487E-05
 -2.8176E+01  3.7031E-05
 -2.8164E+01  3.0380E-05
 -2.8152E+01  2.3944E-05
 -2.8141E+01  1.7972E-05
 -2.8129E+01  1.2781E-05
 -2.8117E+01  8.8499E-06
 -2.8105E+01  6.7398E-06
 -2.8093E+01  6.8431E-06
 -2.8081E+01  9.1166E-06
 -2.8069E+01  1.2945E-05
 -2.8057E+01  1.7239E-05
 -2.8045E+01  2.0754E-05
 -2.8033E+01  2.2508E-05
 -2.8021E+01  2.2117E-05
 -2.8010E+01  1.9914E-05
 -2.7998E+01  1.6778E-05
 -2.7986E+01  1.3777E-05
 -2.7974E+01  1.1755E-05
 -2.7962E+01  1.1060E-05
 -2.7950E+01  1.1496E-05
 -2.7938E+01  1.2516E-05
 -2.7926E+01  1.3517E-05
 -2.7914E+01  1.4119E-05
 -2.7902E+01  1.4270E-05
 -2.7890E+01  1.4162E-05
 -2.7879E+01  1.4020E-05
 -2.7867E+01  1.3899E-05
 -2.7855E+01  1.3604E-05
 -2.7843E+01  1.2801E-05
 -2.7831E+01  1.1253E-05
 -2.7819E+01  9.0708E-06
 -2.7807E+01  6.8232E-06
 -2.7795E+01  5.4306E-06
 -2.7783E+01  5.8508E-06
 -2.7771E+01  8.6841E-06
 -2.7759E+01  1.3865E-05
 -2.7748E+01  2.0582E-05
 -2.7736E+01  2.7483E-05
 -2.7724E+01  3.3083E-05
 -2.7712E+01  3.6232E-05
 -2.7700E+01  3.6444E-05
 -2.7688E+01  3.3982E-05
 -2.7676E+01  2.9676E-05
 -2.7664E+01  2.4574E-05
 -2.7652E+01  1.9579E-05
 -2.7640E+01  1.5231E-05
 -2.7628E+01  1.1695E-05
 -2.7617E+01  8.9232E-06
 -2.7605E+01  6.8743E-06
 -2.7593E+01  5.6661E-06
 -2.7581E+01  5.5618E-06
 -2.7569E+01  6.8026E-06
